aquatic mammal,bird,canine,feline,fish,insect,mammal,reptile
beaver,blue jay,coyote,cat,anemone fish,ant,bear,chameleon
beluga,cardinal,dog,leopard,butterfly fish,bee,cow,crocodile
dolphin,chickadee,fox,lion,great white shark,beetle,elephant,iguana
hippopotamus,chicken,hyena,lynx,lionfish,butterfly,giraffe,lizard
orca,falcon,wolf,tiger,moray,caterpillar,horse,snake
otter,flamingo,poodle,cheetah,piranha,dragonfly,koala,turtle
polar bear,heron,chihuahua,cougar,ray,fly,monkey,alligator
seal,hummingbird,clam,kitten,seahorse,grasshopper,moose,cobra
sea lion,owl,dalmatian,panther,surgeonfish,ladybug,panda,frog
walrus,parrot,pug,,starfish,,pig,rattlesnake
whale,peacock,puppy,,barnacle,,rabbit,tick
,penguin,,,blowfish,,raccoon,warthog
,sparrow,,,catfish,,sheep,
,swan,,,coral,,squirrel,
,chick,,,crab,,aardvark,
,cockatoo,,,crayfish,,alpaca,
,crow,,,eel,,anteater,
,duck,,,goldfish,,antelope,
,duckling,,,jellyfish,,badger,
,eagle,,,leech,,bat,
,goose,,,lobster,,bison,
,hawk,,,mussel,,boar,
,ostrich,,,octopus,,bull,
,pelican,,,oyster,,calf,
,pheasant,,,sea urchin,,camel,
,pigeon,,,shark,,chinchilla,
,puffin,,,shrimp,,chipmunk,
,rooster,,,squid,,deer,
,seagull,,,stingray,,donkey,
,toucan,,,swordfish,,ferret,
,turkey,,,tadpole,,gazelle,
,vulture,,,toad,,goat,
,,,,,,gopher,
,,,,,,gorilla,
,,,,,,groundhog,
,,,,,,guinea pig,
,,,,,,hamster,
,,,,,,hedgehog,
,,,,,,kangaroo,
,,,,,,lamb,
,,,,,,llama,
,,,,,,meerkat,
,,,,,,mole,
,,,,,,mongoose,
,,,,,,mouse,
,,,,,,mullet,
,,,,,,orangutan,
,,,,,,piglet,
,,,,,,platypus,
,,,,,,pony,
,,,,,,porcupine,
,,,,,,possum,
,,,,,,racehorse,
,,,,,,ram,
,,,,,,rat,
,,,,,,reindeer,
,,,,,,rhinoceros,
,,,,,,skunk,
,,,,,,sloth,
,,,,,,weasel,
,,,,,,yak,
